# long, lat, r, g, b
-84.3429,88.9714,129,173,210
-83.3143,88.9714,129,173,210
-82.2857,88.9714,129,173,210
-81.2571,88.9714,130,173,210
-80.2286,88.9714,130,174,210
-79.2,88.9714,131,174,210
-78.1714,88.9714,131,175,211
-77.1429,88.9714,132,175,211
-76.1143,88.9714,133,176,211
-75.0857,88.9714,133,177,211
-74.0571,88.9714,134,177,212
-73.0286,88.9714,135,177,212
-72,88.9714,136,178,212
-70.9714,88.9714,137,179,213
-69.9429,88.9714,137,179,213
-68.9143,88.9714,138,179,213
-67.8857,88.9714,139,180,214
-66.8571,88.9714,139,180,214
-65.8286,88.9714,140,181,214
-64.8,88.9714,140,181,214
-63.7714,88.9714,140,181,214
-62.7429,88.9714,140,181,214
-61.7143,88.9714,140,180,214
-60.6857,88.9714,139,180,213
-59.6571,88.9714,138,179,213
-58.6286,88.9714,137,179,213
-57.6,88.9714,136,178,212
-56.5714,88.9714,134,177,211
-55.5429,88.9714,132,176,211
-54.5143,88.9714,131,174,210
-53.4857,88.9714,128,173,209
-52.4571,88.9714,126,171,208
-51.4286,88.9714,125,170,208
-50.4,88.9714,123,169,207
-49.3714,88.9714,122,169,206
-48.3429,88.9714,122,168,206
-47.3143,88.9714,121,168,206
-46.2857,88.9714,121,168,206
-45.2571,88.9714,121,168,206
-44.2286,88.9714,121,168,206
-43.2,88.9714,121,168,206
-42.1714,88.9714,121,168,206
-41.1429,88.9714,121,168,206
-40.1143,88.9714,121,168,206
-39.0857,88.9714,121,168,206
-38.0571,88.9714,121,168,206
-37.0286,88.9714,121,168,206
-36,88.9714,122,168,206
-34.9714,88.9714,122,168,206
-33.9429,88.9714,122,168,206
-32.9143,88.9714,122,168,206
-31.8857,88.9714,122,168,206
-30.8571,88.9714,122,168,206
-29.8286,88.9714,122,169,206
-28.8,88.9714,122,168,206
-27.7714,88.9714,122,168,206
-26.7429,88.9714,122,168,206
-25.7143,88.9714,121,168,206
-24.6857,88.9714,121,168,206
-23.6571,88.9714,121,168,206
-22.6286,88.9714,121,168,206
-21.6,88.9714,121,168,206
-20.5714,88.9714,120,168,206
-19.5429,88.9714,120,167,206
-18.5143,88.9714,120,167,206
-17.4857,88.9714,120,167,206
-16.4571,88.9714,120,167,205
-15.4286,88.9714,119,167,205
-14.4,88.9714,119,167,205
-13.3714,88.9714,119,166,205
-12.3429,88.9714,119,166,205
-11.3143,88.9714,119,166,205
-10.2857,88.9714,119,166,205
-9.25714,88.9714,118,166,205
-8.22857,88.9714,118,166,204
-7.2,88.9714,118,166,204
-6.17143,88.9714,118,166,204
-5.14286,88.9714,118,166,204
-4.11429,88.9714,118,166,204
-3.08571,88.9714,118,166,204
-2.05714,88.9714,118,166,204
-1.02857,88.9714,118,166,204
0,88.9714,118,166,204
1.02857,88.9714,118,166,204
2.05714,88.9714,118,166,204
3.08571,88.9714,118,166,204
4.11429,88.9714,118,166,204
5.14286,88.9714,118,166,205
6.17143,88.9714,118,166,205
7.2,88.9714,119,166,205
8.22857,88.9714,118,166,205
9.25714,88.9714,119,166,205
10.2857,88.9714,119,166,205
11.3143,88.9714,119,166,205
12.3429,88.9714,119,166,205
13.3714,88.9714,118,166,205
14.4,88.9714,118,166,205
